,name,last name,first name,age,position,team,faStatus,total-contract,average,max-contract
204,facundocampazzo,Campazzo,Facundo,31.5>,PG,DEN,UFA,1836090,1836090,"$1,836,090"
205,facundocampazzo,Campazzo,Facundo,31.5>,PG,DEN,UFA,1836090,1836090,"$1,836,090"
206,elijahhughes,Hughes,Elijah,24.6>,SF,POR,UFA,1836090,1836090,"$1,836,090"
207,elijahhughes,Hughes,Elijah,24.6>,SF,POR,UFA,1836090,1836090,"$1,836,090"
208,skylarmays,Mays,Skylar,25.1>,SG,ATL,UFA,1836090,1836090,"$1,836,090"
209,skylarmays,Mays,Skylar,25.1>,SG,ATL,UFA,1836090,1836090,"$1,836,090"
210,jayscrubb,Scrubb,Jay,22.1>,SG,LAC,UFA,1836090,1836090,"$1,836,090"
211,jayscrubb,Scrubb,Jay,22.1>,SG,LAC,UFA,1836090,1836090,"$1,836,090"
212,malikfitts,Fitts,Malik,25.2>,PF,IND,UFA,1836090,1836090,"$1,836,090"
213,malikfitts,Fitts,Malik,25.2>,PF,IND,UFA,1836090,1836090,"$1,836,090"
214,anthonylamb,Lamb,Anthony,24.7>,SF,HOU,UFA,1836090,1836090,"$1,836,090"
215,anthonylamb,Lamb,Anthony,24.7>,SF,HOU,UFA,1836090,1836090,"$1,836,090"
216,robertwoodardii,WoodardII,Robert,23.0>,SG,SAS,UFA,1836090,1836090,"$1,836,090"
217,robertwoodardii,WoodardII,Robert,23.0>,SG,SAS,UFA,1836090,1836090,"$1,836,090"
218,brodricthomas,Thomas,Brodric,2022.8>,G,BOS,RFA,1836090,1836090,"$1,836,090"
219,brodricthomas,Thomas,Brodric,2022.8>,G,BOS,RFA,1836090,1836090,"$1,836,090"
220,natehinton,Hinton,Nate,23.2>,SG,IND,UFA,1836090,1836090,"$1,836,090"
221,natehinton,Hinton,Nate,23.2>,SG,IND,UFA,1836090,1836090,"$1,836,090"
222,cjelleby,Elleby,CJ,22.1>,SF,POR,UFA,1836090,1836090,"$1,836,090"
223,cjelleby,Elleby,CJ,22.1>,SF,POR,UFA,1836090,1836090,"$1,836,090"
224,lucavildoza,Vildoza,Luca,26.8>,PG,MIL,UFA,1836090,1836090,"$1,836,090"
225,lucavildoza,Vildoza,Luca,26.8>,PG,MIL,UFA,1836090,1836090,"$1,836,090"
226,davidjohnson,Johnson,David,21.6>,PG,TOR,RFA,1637966,1637966,"$1,637,966"
227,davidjohnson,Johnson,David,21.6>,PG,TOR,RFA,1637966,1637966,"$1,637,966"
228,mattryan,Ryan,Matt,25.4>,SF,BOS,UFA,1637966,1637966,"$1,637,966"
229,mattryan,Ryan,Matt,25.4>,SF,BOS,UFA,1637966,1637966,"$1,637,966"
230,sharifecooper,Cooper,Sharife,21.2>,PG,ATL,RFA,1637966,1637966,"$1,637,966"
231,sharifecooper,Cooper,Sharife,21.2>,PG,ATL,RFA,1637966,1637966,"$1,637,966"
232,gabeyork,York,Gabe,29.1>,SG,IND,UFA,1637966,1637966,"$1,637,966"
233,gabeyork,York,Gabe,29.1>,SG,IND,UFA,1637966,1637966,"$1,637,966"
234,jamorkopickett,Pickett,Jamorko,24.7>,SF,DET,UFA,1637966,1637966,"$1,637,966"
235,jamorkopickett,Pickett,Jamorko,24.7>,SF,DET,UFA,1637966,1637966,"$1,637,966"
236,mckinleywrightiv,WrightIV,McKinley,23.8>,PG,MIN,UFA,1637966,1637966,"$1,637,966"
237,mckinleywrightiv,WrightIV,McKinley,23.8>,PG,MIN,UFA,1637966,1637966,"$1,637,966"
238,xaviermoon,Moon,Xavier,27.5>,SG,LAC,UFA,1637966,1637966,"$1,637,966"
239,xaviermoon,Moon,Xavier,27.5>,SG,LAC,UFA,1637966,1637966,"$1,637,966"
240,lindellwigginton,Wigginton,Lindell,24.2>,SG,MIL,UFA,1637966,1637966,"$1,637,966"
241,lindellwigginton,Wigginton,Lindell,24.2>,SG,MIL,UFA,1637966,1637966,"$1,637,966"
